date,openings_rate,quits_rate,layoffs_rate,openings_z,quits_z,layoffs_z,composite,jolts_mci,jolts_mci_ma12
2004-06-01,2.5,2.0,1.4,-0.9176932946404864,-0.024010009591120537,-0.065845313491498,-0.335849539241035,96.37163168179474,94.90039299634707
2004-07-01,2.8,2.0,1.4,-0.6808352604631315,-0.024010009591120537,-0.065845313491498,-0.2568968611819167,97.91010797892386,95.26402551264249
2004-08-01,2.6,2.0,1.5,-0.838740616581368,-0.024010009591120537,-0.24065588028308646,-0.36780216881852495,95.74900095609463,95.89398352296071
2004-09-01,2.8,1.9,1.5,-0.6808352604631315,-0.30104858179637406,-0.24065588028308646,-0.40751324084753066,94.97518878718418,96.0775237873537
2004-10-01,2.9,1.9,1.4,-0.601882582404013,-0.30104858179637406,-0.065845313491498,-0.3229254925639617,96.62347037763706,96.35568539825306
2004-11-01,2.6,2.1,1.5,-0.838740616581368,0.253028562614133,-0.24065588028308646,-0.2754559780834405,97.5484639897578,96.82653771465573
2004-12-01,3.0,2.0,1.5,-0.5229299043448946,-0.024010009591120537,-0.24065588028308646,-0.2625319314063672,97.80030268560014,97.31913892576955
2005-01-01,2.8,2.1,1.5,-0.6808352604631315,0.253028562614133,-0.24065588028308646,-0.22282085937736165,98.57411485451057,97.54541464286058
2005-02-01,2.9,2.0,1.6,-0.601882582404013,-0.024010009591120537,-0.41546644707467495,-0.34711967968993623,96.15202109514726,97.67362100095467
2005-03-01,2.9,2.1,1.6,-0.601882582404013,0.253028562614133,-0.41546644707467495,-0.2547734889548517,97.95148412881046,98.2390946638637
2005-04-01,3.0,2.1,1.5,-0.5229299043448946,0.253028562614133,-0.24065588028308646,-0.1701857406712827,99.59976571926333,98.96712203317885
2005-05-01,2.8,2.1,1.5,-0.6808352604631315,0.253028562614133,-0.24065588028308646,-0.22282085937736165,98.57411485451057,99.30976799148743
2005-06-01,2.9,2.1,1.5,-0.601882582404013,0.253028562614133,-0.24065588028308646,-0.19650330002432218,99.08694028688694,99.71268794799033
2005-07-01,3.1,2.0,1.4,-0.4439772262857761,-0.024010009591120537,-0.065845313491498,-0.17794418312279822,99.44858427605303,100.0
2005-08-01,3.0,2.2,1.4,-0.5229299043448946,0.5300671348193865,-0.065845313491498,-0.019569361005668705,102.53468491100301,100.46740430391212
2005-09-01,3.1,2.3,1.5,-0.4439772262857761,0.8071057070246388,-0.24065588028308646,0.0408242001519254,103.71151721896608,101.04202840793145
2005-10-01,3.0,2.1,1.4,-0.5229299043448946,0.253028562614133,-0.065845313491498,-0.11191555174075322,100.73522187733982,101.59490361723964
2005-11-01,3.1,2.1,1.3,-0.4439772262857761,0.253028562614133,0.10896525330009008,-0.027327803457184358,102.3835034677927,101.71051152173287
2005-12-01,3.1,2.1,1.4,-0.4439772262857761,0.253028562614133,-0.065845313491498,-0.0855979923877137,101.2480473097162,102.03140858533025
2006-01-01,3.1,2.2,1.3,-0.4439772262857761,0.5300671348193865,0.10896525330009008,0.06501838727790014,104.18296650145587,102.54154834194038
2006-02-01,3.1,2.2,1.4,-0.4439772262857761,0.5300671348193865,-0.065845313491498,0.006748198347370791,103.04751034337937,102.84145884755092
2006-03-01,3.4,2.2,1.4,-0.2071191921084212,0.5300671348193865,-0.065845313491498,0.08570087640648909,104.58598664050854,103.06428655215137
2006-04-01,3.4,2.0,1.4,-0.2071191921084212,-0.024010009591120537,-0.065845313491498,-0.09899150506367992,100.98706057318216,103.03908964494967
2006-05-01,3.2,2.2,1.5,-0.3650245482266577,0.5300671348193865,-0.24065588028308646,-0.025204431230119218,102.42487961767928,103.274515803151
2006-06-01,3.3,2.2,1.3,-0.2860718701675396,0.5300671348193865,0.10896525330009008,0.11765350598397899,105.20861736620863,103.41532061484594
2006-07-01,3.1,2.2,1.4,-0.4439772262857761,0.5300671348193865,-0.065845313491498,0.006748198347370791,103.04751034337937,103.74536811955365
2006-08-01,3.3,2.2,1.3,-0.2860718701675396,0.5300671348193865,0.10896525330009008,0.11765350598397899,105.20861736620863,103.58626242563808
2006-09-01,3.3,2.1,1.3,-0.2860718701675396,0.253028562614133,0.10896525330009008,0.025307315248894485,103.40915433254546,103.61639942473523
2006-10-01,3.2,2.2,1.4,-0.3650245482266577,0.5300671348193865,-0.065845313491498,0.033065757700410266,103.56033577575579,103.65913487743329
2006-11-01,3.3,2.2,1.4,-0.2860718701675396,0.5300671348193865,-0.065845313491498,0.05938331705344963,104.07316120813215,103.67173333103415
2006-12-01,3.3,2.2,1.3,-0.2860718701675396,0.5300671348193865,0.10896525330009008,0.11765350598397899,105.20861736620863,103.80909013023854
2007-01-01,3.3,2.1,1.4,-0.2860718701675396,0.253028562614133,-0.065845313491498,-0.03296287368163487,102.27369817446896,103.70187033013131
2007-02-01,3.3,2.1,1.3,-0.2860718701675396,0.253028562614133,0.10896525330009008,0.025307315248894485,103.40915433254546,103.59465053002408
2007-03-01,3.5,2.2,1.4,-0.12816651404930277,0.5300671348193865,-0.065845313491498,0.11201843575952856,105.09881207288491,103.36267238431331
2007-04-01,3.3,2.1,1.5,-0.2860718701675396,0.253028562614133,-0.24065588028308646,-0.09123306261216435,101.13824201639248,102.77889783918364
2007-05-01,3.3,2.2,1.4,-0.2860718701675396,0.5300671348193865,-0.065845313491498,0.05938331705344963,104.07316120813215,102.62894258637839
2007-06-01,3.4,2.1,1.3,-0.2071191921084212,0.253028562614133,0.10896525330009008,0.051624874601933955,103.92197976492183,102.32903208076785
2007-07-01,3.2,2.1,1.4,-0.3650245482266577,0.253028562614133,-0.065845313491498,-0.059280433034674236,101.76087274209257,101.89176477595292
2007-08-01,3.2,2.2,1.5,-0.3650245482266577,0.5300671348193865,-0.24065588028308646,-0.025204431230119218,102.42487961767928,101.84902932325487
2007-09-01,3.3,1.9,1.6,-0.2860718701675396,-0.30104858179637406,-0.41546644707467495,-0.33419563301286287,96.40385979098961,101.62620161865442
2007-10-01,3.2,2.1,1.4,-0.3650245482266577,0.253028562614133,-0.065845313491498,-0.059280433034674236,101.76087274209257,100.96265859674845
